,community,males,females,total_ident,total,prop_males,prop_females,prop_ident
63,math,9568.0,808.0,10376.0,30011.0,0.9221279876638396,0.07787201233616037,0.345739895371697
64,matheducators,303.0,21.0,324.0,676.0,0.9351851851851852,0.06481481481481481,0.47928994082840237
65,mathematica,857.0,63.0,920.0,2552.0,0.9315217391304348,0.06847826086956521,0.3605015673981191
66,mathoverflow,3965.0,283.0,4248.0,8063.0,0.9333804143126178,0.0666195856873823,0.5268510479970234
67,mechanics,575.0,25.0,600.0,1583.0,0.9583333333333334,0.041666666666666664,0.3790271636133923
68,moderators,50.0,5.0,55.0,152.0,0.9090909090909091,0.09090909090909091,0.3618421052631579
69,money,1356.0,81.0,1437.0,3705.0,0.9436325678496869,0.05636743215031315,0.38785425101214577
70,movies,712.0,52.0,764.0,2194.0,0.9319371727748691,0.06806282722513089,0.3482224247948952
71,music,788.0,52.0,840.0,2330.0,0.9380952380952381,0.06190476190476191,0.3605150214592275
72,networkengineering,323.0,16.0,339.0,947.0,0.9528023598820059,0.0471976401179941,0.3579725448785639
73,opendata,189.0,13.0,202.0,497.0,0.9356435643564357,0.06435643564356436,0.40643863179074446
74,outdoors,269.0,24.0,293.0,776.0,0.9180887372013652,0.08191126279863481,0.37757731958762886
75,parenting,702.0,114.0,816.0,1976.0,0.8602941176470589,0.13970588235294118,0.41295546558704455
76,patents,302.0,19.0,321.0,788.0,0.940809968847352,0.059190031152647975,0.4073604060913706
77,pets,178.0,39.0,217.0,607.0,0.8202764976958525,0.17972350230414746,0.357495881383855
78,philosophy,623.0,32.0,655.0,1729.0,0.9511450381679389,0.04885496183206107,0.3788316946211683
79,photo,1729.0,99.0,1828.0,4611.0,0.9458424507658644,0.05415754923413567,0.3964432877900672
80,physics,2992.0,165.0,3157.0,8822.0,0.9477351916376306,0.05226480836236934,0.35785536159601
81,pm,609.0,40.0,649.0,1548.0,0.938366718027735,0.061633281972265024,0.419250645994832
82,poker,113.0,7.0,120.0,333.0,0.9416666666666667,0.058333333333333334,0.36036036036036034
83,politics,199.0,15.0,214.0,591.0,0.9299065420560748,0.07009345794392523,0.36209813874788493
84,productivity,619.0,58.0,677.0,1886.0,0.914327917282127,0.08567208271787297,0.3589607635206787
85,programmers,9812.0,415.0,10227.0,26086.0,0.959421140119292,0.04057885988070793,0.39204937514375526
86,pt,660.0,28.0,688.0,1410.0,0.9593023255813954,0.040697674418604654,0.4879432624113475
87,quant,402.0,24.0,426.0,1206.0,0.9436619718309859,0.056338028169014086,0.35323383084577115
88,raspberrypi,858.0,28.0,886.0,2500.0,0.9683972911963883,0.03160270880361174,0.3544
89,reverseengineering,150.0,5.0,155.0,565.0,0.967741935483871,0.03225806451612903,0.2743362831858407
90,robotics,173.0,12.0,185.0,563.0,0.9351351351351351,0.06486486486486487,0.3285968028419183
91,rpg,889.0,67.0,956.0,2904.0,0.9299163179916318,0.0700836820083682,0.32920110192837465
92,russian,168.0,20.0,188.0,541.0,0.8936170212765957,0.10638297872340426,0.34750462107208874
93,salesforce,574.0,41.0,615.0,1485.0,0.9333333333333333,0.06666666666666667,0.41414141414141414
94,scicomp,453.0,23.0,476.0,1228.0,0.9516806722689075,0.04831932773109244,0.38762214983713356
95,scifi,2058.0,216.0,2274.0,6141.0,0.9050131926121372,0.09498680738786279,0.3702979970688813
96,security,3065.0,127.0,3192.0,8832.0,0.9602130325814536,0.039786967418546364,0.36141304347826086
97,serverfault,16627.0,571.0,17198.0,45691.0,0.9667984649377834,0.033201535062216535,0.3763979777199011
98,sharepoint,1448.0,92.0,1540.0,3629.0,0.9402597402597402,0.05974025974025974,0.4243593276384679
99,skeptics,1238.0,80.0,1318.0,3431.0,0.9393019726858877,0.06069802731411229,0.3841445642669776
100,softwarerecs,498.0,26.0,524.0,1511.0,0.950381679389313,0.04961832061068702,0.34679020516214426
101,sound,381.0,21.0,402.0,923.0,0.9477611940298507,0.05223880597014925,0.4355362946912243
102,space,202.0,9.0,211.0,624.0,0.957345971563981,0.04265402843601896,0.33814102564102566
103,spanish,267.0,22.0,289.0,773.0,0.9238754325259516,0.07612456747404844,0.3738680465717982
104,sports,273.0,16.0,289.0,813.0,0.9446366782006921,0.05536332179930796,0.35547355473554737
105,sqa,423.0,35.0,458.0,1022.0,0.9235807860262009,0.07641921397379912,0.4481409001956947
106,stackapps,509.0,24.0,533.0,1312.0,0.9549718574108818,0.0450281425891182,0.40625
107,stackoverflow,149340.0,9806.0,159146.0,448267.0,0.9383836225855504,0.06161637741444963,0.35502501857152097
108,startups,55.0,1.0,56.0,135.0,0.9821428571428571,0.017857142857142856,0.4148148148148148
109,stats,2512.0,200.0,2712.0,7531.0,0.9262536873156342,0.07374631268436578,0.36011153897224807
110,superuser,21331.0,931.0,22262.0,61484.0,0.9581798580540832,0.04182014194591681,0.3620779389759938
111,sustainability,106.0,10.0,116.0,319.0,0.9137931034482759,0.08620689655172414,0.36363636363636365
112,tex,4321.0,340.0,4661.0,12619.0,0.9270542801973826,0.07294571980261746,0.36936365797606785
113,tor,97.0,7.0,104.0,299.0,0.9326923076923077,0.0673076923076923,0.34782608695652173
114,travel,1240.0,114.0,1354.0,3597.0,0.9158050221565731,0.08419497784342689,0.3764247984431471
115,tridion,152.0,15.0,167.0,336.0,0.9101796407185628,0.08982035928143713,0.49702380952380953
116,unix,5086.0,218.0,5304.0,15870.0,0.9588989441930619,0.04110105580693816,0.3342155009451796
117,ux,3324.0,242.0,3566.0,8896.0,0.9321368480089737,0.06786315199102635,0.40085431654676257
118,video,359.0,10.0,369.0,1077.0,0.9728997289972899,0.02710027100271003,0.3426183844011142
119,webapps,2990.0,170.0,3160.0,8378.0,0.9462025316455697,0.05379746835443038,0.37717832418238245
120,webmasters,3042.0,175.0,3217.0,8275.0,0.9456014920733603,0.05439850792663973,0.38876132930513596
121,windowsphone,247.0,12.0,259.0,607.0,0.9536679536679536,0.04633204633204633,0.42668863261943984
122,wordpress,2700.0,184.0,2884.0,7513.0,0.9361997226074896,0.0638002773925104,0.38386796219885533
123,workplace,1441.0,140.0,1581.0,4305.0,0.9114484503478811,0.08855154965211891,0.3672473867595819
124,writers,620.0,70.0,690.0,1697.0,0.8985507246376812,0.10144927536231885,0.4065998821449617
