community,total_contrib,males_contrib,females_contrib,total_questions,males_questions,females_questions,total_answers,males_answers,females_answers,total_comments,males_comments,females_comments,category,years,months,males,females,total_ident,total,prop_males,prop_females,prop_ident
linguistics,6955,6790,165,669,630,39,1157,1134,23,5130,5027,103,science,3,38,327,25,352,948,0.9289772727,0.07102272727,0.3713080169
magento,21879,20594,1285,2304,2069,235,6571,6249,322,13004,12276,728,technology,1,22,488,37,525,1316,0.9295238095,0.07047619048,0.3989361702
math,903711,867556,36155,73831,65632,8199,222685,216581,6104,607201,585348,21853,science,4,52,9568,808,10376,30011,0.9221279877,0.07787201234,0.3457398954
mathematica,57959,54974,2985,4058,3769,289,10564,9994,570,43337,41211,2126,technology,2,34,857,63,920,2552,0.9315217391,0.06847826087,0.3605015674
mathoverflow,290104,280220,9884,23886,22647,1239,62473,60421,2052,203746,197153,6593,science,5,62,3965,283,4248,8063,0.9333804143,0.06661958569,0.526851048
mechanics,8052,7962,90,938,911,27,2524,2511,13,4590,4540,50,culture-recreation,3,44,575,25,600,1583,0.9583333333,0.04166666667,0.3790271636
money,17502,16853,649,2213,2125,88,4841,4642,199,10448,10086,362,life-arts,4,51,1356,81,1437,3705,0.9436325678,0.05636743215,0.387854251
movies,12459,12225,234,1451,1390,61,2773,2726,47,8235,8109,126,life-arts,3,36,712,52,764,2194,0.9319371728,0.06806282723,0.3482224248
music,12995,12346,649,1138,1064,74,3681,3490,191,8176,7792,384,life-arts,3,43,788,52,840,2330,0.9380952381,0.0619047619,0.3605150215
outdoors,4523,4279,244,488,468,20,1162,1072,90,2873,2739,134,culture-recreation,2,34,269,24,293,776,0.9180887372,0.0819112628,0.3775773196
parenting,11131,8412,2719,724,602,122,3679,2522,1157,6729,5289,1440,life-arts,3,44,702,114,816,1976,0.8602941176,0.1397058824,0.4129554656
philosophy,14207,14006,201,810,784,26,2830,2787,43,10567,10435,132,science,3,41,623,32,655,1729,0.9511450382,0.04885496183,0.3788316946
photo,43541,42551,990,3542,3362,180,12772,12534,238,27227,26655,572,life-arts,4,52,1729,99,1828,4611,0.9458424508,0.05415754923,0.3964432878
physics,117759,114479,3280,8982,8414,568,26718,26008,710,82062,80060,2002,science,4,48,2992,165,3157,8822,0.9477351916,0.05226480836,0.3578553616
pm,9210,8850,360,625,583,42,4228,4070,158,4357,4197,160,business,3,45,609,40,649,1548,0.938366718,0.06163328197,0.419250646
productivity,4958,4406,552,452,425,27,2186,1901,285,2320,2080,240,life-arts,3,41,619,58,677,1886,0.9143279173,0.08567208272,0.3589607635
programmers,182103,174498,7605,9666,9115,551,49721,47851,1870,122717,117532,5185,technology,4,50,9812,415,10227,26086,0.9594211401,0.04057885988,0.3920493751
quant,6907,6592,315,672,594,78,1785,1738,47,4450,4260,190,business,3,46,402,24,426,1206,0.9436619718,0.05633802817,0.3532338308
raspberrypi,8641,8300,341,1005,956,49,2175,2088,87,5461,5256,205,technology,2,29,858,28,886,2500,0.9683972912,0.0316027088,0.3544
rpg,20877,20116,761,2340,2220,120,6366,6086,280,12171,11810,361,culture-recreation,4,51,889,67,956,2904,0.929916318,0.07008368201,0.3292011019
russian,2366,1841,525,186,131,55,608,520,88,1572,1190,382,culture-recreation,2,29,168,20,188,541,0.8936170213,0.1063829787,0.3475046211
salesforce,34375,33029,1346,4460,4079,381,9509,9266,243,20406,19684,722,technology,2,28,574,41,615,1485,0.9333333333,0.06666666667,0.4141414141
