,acc_rate_difference_mean,acc_rate_difference_median,acc_rate_pvalue,category,community,mean_utility_difference_mean,mean_utility_difference_median,mean_utility_pvalue,questions_avg_difference_mean,questions_avg_difference_median,questions_avg_pvalue
0,0.026734507698259025,0.0,0.42856479940856385,life-arts,academia,0.10846340606082219,0.12158960145032016,0.3656887190771235,0.524215597665906,-0.3333333333333339,0.8527792664747245
1,0.007479734817683437,0.0,0.8093282970498124,technology,android,-0.0625251077169949,-0.3503807224570153,0.5147732917692243,0.3032933001442877,0.0,0.959273479459545
2,0.20676546610521152,0.5,0.018411405395118177,culture-recreation,anime,0.29186764784093255,0.15897216614870577,0.3168854304015193,1.4611814847170947,0.634615384615385,0.5234379417836683
3,-0.07452245794481638,0.0,0.08326337414744348,technology,apple,-0.0010156736018081605,-0.04007705407521436,0.9626496107418736,-0.2852303839026513,-0.41666666666666674,0.3289694235909617
4,-0.007864055520747315,0.04605263157894737,0.9783938791177998,technology,askubuntu,0.07463013885789845,0.07214040066432025,0.2177251307449356,0.01871879983181124,-0.16666666666666674,0.4644435717465004
5,-0.05177644117076731,0.0,0.06742880294183451,culture-recreation,bicycles,-0.13654041243449766,-0.27675708804752597,0.23922725997350547,3.268228720560497,2.75,0.013428753745048379
6,0.05543753783919436,0.08333333333333331,0.3504743371741539,science,biology,0.13127521998748415,0.3448074882069154,0.48820648615984386,0.7242333021362306,0.16666666666666652,0.3772768201887641
7,0.13821422004279066,0.3333333333333333,0.12123225863573447,business,bitcoin,0.01946927588229063,0.16836687524557348,0.9427266315341253,-2.968251067823079,-1.0,0.0006998672695578619
8,0.03206153161663272,-0.009615384615384609,0.7129842869493745,science,chemistry,-0.19257496289052287,-0.11892059303090402,0.42956471225582304,0.23471096087361643,-0.1470588235294117,0.45653817213926406
9,0.018829862222839555,0.0,0.8103111313945528,culture-recreation,chinese,0.1688196955037742,0.12764495421080235,0.5179282390714235,-0.6529363421837404,0.0,0.4988159206652507
10,-0.04095560652531638,0.0,0.11831239735463946,culture-recreation,christianity,0.056893704134042634,0.15571009221167087,0.6426697411604345,2.1808511543414726,-0.6111111111111107,0.8176051977198706
11,0.008110684570440611,0.0,0.6881179509365306,technology,codegolf,-0.07012091770694681,-0.00020586498090058303,0.7866991726344581,-5.680236093403422,-3.5,0.08111358385658007
12,0.015888012719690314,0.0,0.5208260356793435,technology,codereview,-0.10054892568408338,-0.22539512902560094,0.574509221719701,0.6238674199635339,1.0,0.21471583538407257
13,-0.04956186355506681,-0.1375,0.6687197016089581,science,cogsci,0.28348489569708335,0.5391638660171922,0.21759994228784874,3.2610142857984767,1.9833333333333343,0.019552599986501
14,0.03268788708753029,0.0,0.017664352056336197,life-arts,cooking,0.14429106901968056,0.19884278482774534,0.027061206366294163,-0.021193078026779055,0.33333333333333304,0.7538378229757
15,0.023065253421338916,0.0,0.8430963893239577,technology,crypto,-0.10177429218252707,-0.2096643454130791,0.7046678328710898,-1.1936407086006633,-0.8944444444444444,0.11062971823617992
16,0.10055254268489566,0.25,0.3178967955440707,science,cs,-0.08582534946265047,-0.33013190695756267,0.6779522186096718,-1.4097587470987936,0.0,0.07898783070511291
17,0.1028903175666282,0.25252525252525254,0.25834179260281187,science,cstheory,-0.020437183215273116,0.06078414387323802,0.9782839349709037,-1.0982569851308552,-0.34313725490196045,0.35951030642420023
18,-0.08611345937942369,-0.043898156277436345,0.29551265741726873,technology,dba,-0.320409400127664,-0.35819605802403526,0.040312160429986206,-0.589675957008728,-0.19999999999999996,0.2256265751243216
19,-0.031977110117329344,0.0,0.19456778045060297,life-arts,diy,0.13766263665385559,0.035406782989456265,0.5898441776870402,0.48591255239959885,0.0,0.3526324986623266
20,-0.043959471506666736,-0.04234143049932526,0.40069145675577134,technology,drupal,0.041609122735269365,0.08942260165644586,0.828168465294621,0.08815223823482787,0.0,0.6131134244227003
21,-0.04903458739900529,-0.2,0.5579682500942964,technology,dsp,0.20953835160953654,0.0829632329790626,0.544054349085114,-0.9076428685622133,-0.75,0.42438303307937675
22,-0.0981737510220165,-0.0975609756097561,0.0479929439800409,technology,electronics,0.05658420404190395,0.06447002570457233,0.8583405361094378,0.1659982430269933,0.0,0.7544454923841746
23,0.03631861645682424,0.10784313725490195,0.30453470197732946,culture-recreation,ell,-0.14539159569374333,0.0024192316088846866,0.8983226509081718,0.6870374972566582,0.7202380952380953,0.28700430081047357
24,-0.014516131901424811,0.0,0.39103078714999184,culture-recreation,english,0.10529022000164726,0.11786589398337288,0.03731293608405438,1.051534016597623,0.0,0.5522047005044257
25,1.30070721091613e-05,-0.08974358974358976,0.6392348092799945,technology,expressionengine,-0.3053510750522803,-0.1791334199876594,0.14541837321883516,-0.5478479744188205,-0.07196969696969702,0.39663272413631834
26,0.019800301249073976,0.0,0.5810433621619027,life-arts,fitness,0.24082426266224707,0.4852435637224134,0.15893970288518178,1.6752074967032522,1.6666666666666665,0.028826859762727874
27,0.08733282632733229,0.0,0.06821018271439665,professional,freelancing,0.04860778110255749,-0.029530079042758506,0.6421460044964125,-2.248522588522588,-2.0,0.1724741272761947
28,0.10809097483096719,0.25,0.0914305161361485,culture-recreation,french,0.29240329092738243,0.4373456900191469,0.10861858923774302,0.6396200022999725,1.5,0.44899931282594385
29,0.03288950202845786,0.0,0.6768602861113858,technology,gamedev,0.13656214939503022,0.3720306209970884,0.14772099907735128,-0.9282849684425858,-0.75,0.17159879370033249
